Level	Rate	Pattern	MaxBeats	TargetBeats	SafeWidth	BeatWidth
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
1	.001	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	1	3	1.5
