Level	Rate	Pattern	MaxBeats	TargetBeats	SafeWidth	BeatWidth
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
1	.025	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	20	4	6	2
